REId,name_short,req_base_pp,dpp_losses,dkr_losses,dpp_nonctrl,dkr_nonctrl,dpp_capex_adj,dkr_capex_adj,dpp_cable,dkr_cable
REL00126,Mellersta Skånes Kraft,1.5491356483679164,-0.014405177180076834,-49.814745835969006,-0.5771489934668361,-1984.7332509606736,-0.059274366597006356,-204.8862794971419,0.12542712314331794,434.34354299538245
REL00127,Mjölby Kraft,1.510905366379589,0.08574603955393556,1135.3904810575623,-0.4078789926406978,-5374.46040604826,0.25137169741353826,3333.968088319991,-0.08182414483508538,-1081.6590463352477
REL00128,Mölndal Energi,-0.28830800598746986,0.010927224710644001,170.17976150525374,-0.12092584199924206,-1880.8046952621698,0.1131560103889262,1764.088130613441,0.06678252062946033,1040.6477987979924
REL00130,Nacka Energi,1.569583941587327,-0.06629647773372938,-2111.459574766559,-0.48053280334756643,-15241.594788830364,0.16157687253375297,5157.668337112009,0.0650879618666389,2075.673878014997
REL00133,Norrtälje Energi,0.6868885936229363,0.1712624756901926,2862.19959975396,0.15452909479307664,2582.1147398298035,0.47033325428462724,7883.839418781419,0.15643406310223984,2613.9955657083083
REL00135,Nossebroortens Energi,0.6768507690918524,-0.028044432312057666,-119.62378870787416,0.9157551013218912,3943.0766290323086,0.17775785775624442,759.784577832349,0.1396754851330284,596.7837985606707
REL00137,Nybro Elnät,0.7682181727887594,-0.003565375543179705,-30.77320359490841,0.23419415776217978,2026.1523622300265,0.20473828782245906,1770.792509951476,-0.006418027916677005,-55.39322996148985
REL00139,Näckåns Elnät,0.8305128078287094,-0.3899519636238802,-1155.314251219334,0.025942819743440815,77.18002608742381,0.3638297687525771,1086.0437192566792,-0.11746429308103767,-348.9581811753883
REL00141,Nässjö Affärsverk,-0.43162308554863804,0.026679593077205688,188.89035542419924,0.6671585767107691,4753.869205296899,0.04605501151337954,326.1307925057313,0.16174828239505779,1146.721943790009
REL00143,Olofströms Kraft,0.1881780281506762,0.09653021811386608,1529.816437886157,0.08205003971919478,1300.145639615514,-0.03610270541929417,-571.4000943277783,-0.09475431082424102,-1498.804733687345
REL00144,Olseröds El,1.8244601098569957,0.0,0.0,-0.1920676199923088,-452.4722458039241,-0.15468668146050302,-364.54536575066913,-0.677164282145104,-1587.6113962676645
REL00146,Oskarshamn Energi,-0.22155409697035555,-0.13636680750976904,-1489.1628220135854,0.6219645707335797,6843.782455971533,0.020491721319604306,224.1268748628363,-0.048320706183224704,-528.140640081268
REL00147,Oxelö Energi,-0.43162308554863804,0.026679593077205688,97.89215489659864,-0.054816441224003754,-200.96703593839607,0.04605501151337954,169.01681393327317,0.16174828239505779,594.286997304466
REL00148,Partille Energi,0.8402615055146168,-0.06602000574802425,-814.9701213189346,-0.6448463552021666,-7914.420186378031,0.11799886183672115,1459.2838589627809,0.13118305928867535,1622.544935522139
REL00149,PiteEnergi,-0.3165197433077305,-0.08842374916370188,-1764.8497145596457,-0.16991978346491132,-3388.6620355344876,0.03260669656375281,651.5864835881239,0.16119042873881106,3225.2533267472254
REL00152,Ronneby Miljöteknik,1.3646054137330665,-0.059789218804739974,-773.5965911550848,-0.30652408397853215,-3956.325381032935,-0.10252916968094272,-1326.0342878493684,-0.1942973294836614,-2510.6045490126635
REL00156,Rödeby Elverk,1.7464490264341048,0.07801108342289087,431.18439981728625,-0.43674015314862924,-2401.6723400068176,-0.16165698115584437,-891.3933394533797,-0.11607933591748498,-640.3627410902827
REL00157,Sala-Heby Energi,-0.0629579462191443,0.2697493710653087,2841.8772864824928,-0.08617431306432444,-904.6414171806382,-0.012275020571395068,-128.95610500205953,0.156532552410249,1647.2431043936954
REL00158,Sandhult-Sandared,-0.43162308554863804,0.026679593077205688,80.16333647908596,0.6287193187609064,1900.5253271350248,0.04605501151337954,138.40692076160212,0.16174828239505779,486.658288198729
REL00160,SEVAB,1.3659205593887336,0.09782724935283316,2111.8372984511043,0.15606310560856151,3370.9479765750075,0.13601054812881763,2937.229641760947,0.13610063091642477,2939.177663422837
REL00163,Sjogerstads El,1.2842043656107638,0.0814759986905278,302.4354162549098,0.39186258021455256,1459.0698984731644,0.13270243252259117,492.8365250063471,0.023255895949270133,86.27496728799088
REL00164,Sjöbo Elnät,0.9571904349978011,0.0819371528046009,736.0017010473402,-0.010240497502778112,-91.9010758086024,0.10145407341641821,911.4897599257092,-0.6716893332399554,-5988.376080003987
REL00167,Skurups Elverk,0.001480826481969899,0.09337612054103328,366.73580671106885,1.0274744223209398,4073.288620137305,0.033677643026974735,132.19039867598588,0.11556486147605849,453.9830677121825
REL00168,Skyllbergs Bruk,0.44554022637903756,-0.8504837188504699,-1518.7120030707588,-0.9093355878587839,-1622.8507839729664,0.18284590037318527,329.89242942346596,0.1575608711360088,284.2012137027634
REL00169,Skånska Energi,0.3220768259426521,0.19421460408219904,3592.3866219741194,0.47431473601777796,8797.966426932244,-0.14926944992279534,-2751.584078998553,0.09226156519530626,1704.825533888601
