REId,name_short,phi_mechanic,phi_input,reconciliation,interaction,residual_total,C1_legacy_2in,C4_twosided_1in,published
REL00936,Njudung Vetlanda,-0.6756450975941575,0.052105468003393884,8.881784197001252e-16,0.10421093600678777,-0.6235396295907627,1.0000000000000009,0.3764603704092373,1.0
REL00937,Tranås Energi,-0.2752593857984098,-0.06359813364419376,-0.02404293842577232,-0.26922234136173007,-0.3629004578683759,1.6530313745388048,1.3141738550962012,1.677074312964577
REL00938,Hedemora Elnät,-0.14733381623691644,0.22187153739966492,-0.19448212905732687,-0.012897066350281428,-0.11994440789457839,1.59614003928219,1.6706777604449385,1.790622168339517
REL00944,Linde Energi,-1.2227481904712345,-0.07498833081392986,8.881784197001252e-16,-0.14997666162785972,-1.2977365212851635,1.0000000000000009,-0.2977365212851635,1.0
REL00945,Gotlands Elnät,-0.2754858282517869,0.20114102877255569,0.24685870933138765,-0.2678002772472432,0.17251390985215642,1.4288015993100256,1.3544567998307944,1.181942889978638
REL00958,Vimmerby Energi,-0.2774376017992686,-0.13147436848403027,-0.0010661513031082759,-0.2717778485454625,-0.4099781215864071,1.4376166877879237,1.0287047175046249,1.438682839091032
REL00959,Åsele Elnät,-1.1048029878806709,0.042956871776633765,8.881784197001252e-16,0.08591374355326753,-1.0618461161040362,1.0000000000000009,-0.06184611610403623,1.0
REL00965,Sörbylunds Elnät,,,0.0,,,1.0,,1.0
REL01010,Sandviken Energi,-0.27870898483918216,-0.07900577364375883,-0.016779019746349322,-0.2726948067664603,-0.3744937782292903,1.2447150099453408,0.8870002514623998,1.26149402969169
REL01012,Brittedals Elnät,-0.27649624743039114,0.08663406564531906,-0.04034854245147379,-0.26949640025517585,-0.23021072423654587,1.3901695839997341,1.200307402214662,1.430518126451208
REL03009,Dala Energi,-0.27785547331119487,0.15238237749285455,-0.15262493086405415,-0.2704070213551235,-0.2780980266823945,1.176164134425406,1.0506910386070656,1.32878906528946
REL03015,Falu Elnät,-0.4427182233506466,0.6725298958743853,-0.22874191025701318,0.06366070768915044,0.0010697622667255047,1.0000000000000009,1.2298116725237396,1.228741910257014
REL03016,Vaggeryds Elverk,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL03019,Trelleborgs Elnät,-0.2748916715697658,-0.1063203732342255,-0.07235098731268597,-0.2691262192592303,-0.45356303211667726,1.729944601594413,1.3487325567904218,1.802295588907099
REL03028,E.ON,-0.9854272123280661,0.16233264732923858,8.881784197001252e-16,0.32466529465847715,-0.8230945649988266,1.0000000000000009,0.1769054350011734,1.0
REL03030,Vattenfall,-0.5385196960212446,0.16554605856468063,8.881784197001252e-16,0.2405292790456981,-0.3729736374565631,1.0000000000000009,0.6270263625434369,1.0
REL03035,Ellevio,-0.8225041011387102,0.037538307518536485,8.881784197001252e-16,0.07507661503707297,-0.7849657936201728,1.0000000000000009,0.21503420637982718,1.0
REL03038,Lidköping Elnät,-1.001208183356589,0.057062729349427466,8.881784197001252e-16,0.11412545869885493,-0.9441454540071605,1.0000000000000009,0.055854545992839455,1.0
REL03041,Hjo Elnät,-0.2795112413334411,-0.1369215180979766,0.11415452362801881,-0.2738455695846964,-0.30227823580339885,1.1911402085360567,0.7747074491046391,1.076985684908038
REL03042,Skara Elnät,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL03043,Karlsborgs Elnät,-0.2781541902058371,-0.1349780307039139,-0.001205818747985088,-0.27250246934429345,-0.4143380396577361,1.353365194074696,0.940232973164945,1.354571012822681
REL03044,Ulricehamn Energi,-0.30249771329823316,0.24197075275375068,-0.09545146910277014,-0.22383399001311144,-0.15597842964725261,1.0000000000000009,0.9394730394555184,1.095451469102771
REL03047,Karlshamn Elnät,-0.9489542691587638,-0.12991136925698532,8.881784197001252e-16,-0.25982273851397064,-1.0788656384157482,1.0000000000000009,-0.07886563841574823,1.0
REL03049,Alingsås Energi,-0.277062069137346,-0.13366371723128045,-0.014468388003741062,-0.2714232529832161,-0.4251941743723675,1.48488231665318,1.0741565302845535,1.499350704656921
REL03050,Näckåns Elnät (Viggafors),-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
