REId,name_short,C1_legacy_2in,C2_twosided_2in,C3_legacy_1in,C4_twosided_1in,phi_mechanic,phi_input
REL00204,Varberg Energi,1.0000000000000009,0.7242973040633816,1.0000000000000009,0.46506217182946674,-0.40532026205357674,-0.1296175661169574
REL00205,Varbergsortens Elkraft,1.7777140636359379,1.6841673970334758,1.8244601098569957,1.50887235256294,-0.2045672119482589,-0.06427449912473904
REL00235,Värnamo Elnät,1.0000000000000009,0.43420680280779056,1.0000000000000009,0.15342086618232997,-0.7061861655049406,-0.1403929683127303
REL00239,Västerviks Elnät,1.0000000000000009,0.2987345408935749,1.0000000000000009,0.04213859197781389,-0.8295634335643065,-0.1282979744578805
REL00242,Västra Orust Energi,1.6203924873766429,1.5264098751319732,1.6712159087783673,1.3038819650615485,-0.23065827798074423,-0.08585224433435013
REL00243,Växjö Energi,1.0634594681081744,0.9679115900612656,1.0768921997816872,0.702992027250815,-0.23472402528889047,-0.1257434155684689
REL00244,Ystad Energi,1.3157239156272427,1.2208893080776884,1.3214443812582743,0.950264980752924,-0.23300700402745234,-0.13245193084686635
REL00246,Ålem Energi,1.6546656293389361,1.5607782203478138,1.7442677598376477,1.3777302129869495,-0.23021247792091026,-0.04672293843107633
REL00249,Årsunda Kraft,1.0000000000000009,0.817151372626479,1.2317984224809786,0.8596247547011604,-0.27751114757667006,0.13713590227782957
REL00255,Östra Kinds Elkraft,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00257,Övik Energi,1.0,,1.0,,,
REL00267,Mälarenergi,1.0000000000000009,0.6666038257271634,1.0000000000000009,0.5280695648409273,-0.4026633047159556,-0.06926713044311805
REL00332,Tidaholms Elnät,1.8244601098569957,1.8244601098569957,1.8244601098569957,1.5912800465931909,-0.1165900316319024,-0.1165900316319024
REL00364,Österlens Kraft,1.2167963919894165,1.1216829198419598,1.226227364374055,0.853991789954911,-0.2336745232833004,-0.12913007875120508
REL00570,Västerbergslagens Elnät,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00576,Härjeåns,1.1078002872064507,1.0123782991839914,1.1444025845495087,0.77125616523257,-0.23428420366969904,-0.10225991830418169
REL00584,Umeå Energi,1.137461630164327,1.0421237313994247,1.5759383362107915,1.2075622055750967,-0.2318570147002985,0.30195759011106826
REL00585,Götene Elförening,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00590,LKAB Nät,1.782050670681956,1.6885159827510154,1.8244601098569957,1.7669882620240829,-0.07550326788192674,0.06044085922405351
REL00594,VänerEnergi,1.0045879703132865,0.9088726046211137,1.0291320924117553,0.654697445061414,-0.235075006521257,-0.11481551873061546
REL00824,Skellefteå Kraft,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00885,Gävle Energi,1.0000000000000009,0.5175158753502274,1.0000000000000009,0.2738197709394319,-0.6043321768551713,-0.12184805220539774
REL00886,Kraftringen,1.2660813546497174,1.1711069474470648,1.3321945837166282,0.9611341749519164,-0.2330174079836822,-0.07192977171411874
REL00899,Kvänumbygdens Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00904,Öresundskraft,1.0000000000000009,0.8699789664835533,1.0000000000000009,0.6096012779597038,-0.26020987777837234,-0.13018884426192479
REL00936,Njudung Vetlanda,1.0000000000000009,0.41312982898817907,1.0000000000000009,0.41961314786977955,-0.5836285115710216,0.0032416594408002375
REL00937,Tranås Energi,1.6770742847523445,1.583249052472091,1.7696786986931112,1.4034176342424542,-0.23004314836545525,-0.043613502144435046
REL00938,Hedemora Elnät,1.7906221926359045,1.6971111751279633,1.8244601098569957,1.7166935343711165,-0.10063879649691021,0.026710138232122205
REL00944,Linde Energi,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.38620463357431634,-1.2424197193799058,-0.14378491419441142
REL00945,Gotlands Elnät,1.1819428741256521,1.0867308933667053,1.5681694567180493,1.199708172046976,-0.2318366327150101,0.24960193063633396
REL00958,Vimmerby Energi,1.3026683038385833,1.2077969566978375,1.3033600950293156,0.931980407901789,-0.2331255171341362,-0.1375623788026581
REL00959,Åsele Elnät,1.0000000000000009,-0.0986348051854935,1.0000000000000009,-0.01692950176025443,-1.0577821534728749,0.04085265171261954
REL00965,Sörbylunds Elnät,1.0,,1.0,,,
REL01010,Sandviken Energi,1.2614940459401591,1.1665067064181578,1.3319370744801828,0.9608738159975427,-0.23302529900232072,-0.06759493094029567
REL01012,Brittedals Elnät,1.4305181085380703,1.3360057251376567,1.6161614277158565,1.2482257573577238,-0.23122402687927313,0.04893167569892665
REL03009,Dala Energi,1.3287890801156221,1.2339912200240999,1.4660380532534711,1.0964548569885268,-0.23219052817823327,-0.0001436949488620165
REL03015,Falu Elnät,1.2287419375957453,1.1336621965541305,1.6423569494435242,1.2747077518332262,-0.23136446932595645,0.27733028356343725
REL03016,Vaggeryds Elverk,1.0,-0.0986348051854935,1.0,-0.38620463357431634,-1.242419719379905,-0.14378491419441142
