REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00139,Näckåns Elnät,1.0374802329623067,0.8952010292712531,-0.27253185462866114,-0.03831571867316202,-0.006805785133097207,-0.20404249963586812,-0.019784092926205026,0.3142299859640509,0.08497076134188887,-0.14227920369105368
REL00141,Nässjö Affärsverk,-0.3335495119590193,0.4434596259398571,-0.02634315585297611,0.7179003106021685,-0.0218774214460725,-0.06607712664385984,-0.004137844689814242,0.10321304535622813,0.07433133057320233,0.7770091378988763
REL00143,Olofströms Kraft,0.15568833648560432,0.2045763244173937,0.006741381826636629,0.14984567404714538,-0.006628174699449064,-0.04444040131674032,-0.003892156558934754,-0.013127723029853287,-0.03961061233701517,0.04888798793178943
REL00144,Olseröds El,1.8244601098569957,1.4913662847380715,-0.064746123287115,0.05449044798861837,-0.006002267400755803,-0.00691057712321295,-0.0006583556318366724,0.09388158416898953,-0.40314853383361154,-0.33309382511892405
REL00146,Oskarshamn Energi,-0.26376916930304084,0.2446168648473801,-0.17127556826649715,0.7076700429236986,-0.009099118623795394,0.010808126167728613,-0.005078147986893294,-0.0470482632611348,0.022408963197314224,0.5083860341504207
REL00147,Oxelö Energi,-0.38620463357431634,-0.434596521942332,-0.0644203719899372,-0.13788476572116154,-0.006204775939537252,0.013774842451329013,-0.003951223340756048,0.06158330348979614,0.08871110268225127,-0.04839188836801564
REL00148,Partille Energi,0.827401451442733,0.2227680876954352,-0.10943485147384324,-0.6480529088760739,-0.019631055083997158,-0.018659578607527046,-0.00571648634213905,0.12334748232178294,0.07351403431449965,-0.6046333637472979
REL00149,PiteEnergi,-0.23988128154175392,-0.434596521942332,-0.1352862828067659,-0.18602654692321574,0.002056034781209198,-0.006432440809209531,-0.0040785351765229684,0.046530948414255716,0.08852158211967119,-0.19471524040057803
REL00152,Ronneby Miljöteknik,1.3401726581887985,0.9365798776656664,-0.045337084188945984,-0.09710033008282032,-0.011840070914175323,-0.0888718649221469,-0.004510572273214588,-0.08942874783775427,-0.06650411030407463,-0.40359278052313197
REL00156,Rödeby Elverk,1.7890150860891074,1.2532724821437968,-0.04571956660230754,-0.36998048158438457,-0.005999839713969969,-0.004136197148964226,-0.004069651742103392,-0.05013486998093847,-0.05570199717264238,-0.5357426039453105
REL00157,Sala-Heby Energi,-0.017060318445449862,0.006729148872852697,0.15349123132015324,-0.2748682274256545,-0.02242569595991461,0.06722508853388827,-0.003908823663508303,0.017217872113246442,0.08705802240009186,0.02378946731830242
REL00158,Sandhult-Sandared,-0.38620463357431634,0.18613697829623632,-0.162545896847644,0.583840223864661,-0.008537549683980024,0.028501237555570907,-0.006501140484066918,0.08788516492419325,0.049699572541818594,0.5723416118705528
REL00160,SEVAB,1.322295298557874,1.606960665728141,-0.008135184715406887,0.13911506336940713,-0.01068487045576383,-0.03611842692580968,-0.004550540403656842,0.12625625472423296,0.07878307157726419,0.284665367170267
REL00163,Sjogerstads El,1.3273553854654674,1.7465490973647135,-0.06010773986495743,0.11820950080117741,0.2142387873923438,0.0017049980627496355,-0.0037720936796662805,0.1432224535920438,0.005697805595555141,0.4191937118992461
REL00164,Sjöbo Elnät,1.0016216199314254,0.2333561676257645,-0.024757216128061546,-0.13353553269303997,-0.00734234873603589,0.10348480899801588,-0.003794210560942049,0.052991965396575545,-0.7553129185821728,-0.7682654523056608
REL00167,Skurups Elverk,0.11704327456718566,1.3071326386496551,-0.055706814067553345,1.0133301024698926,-0.010614864567987449,-0.015906986106119486,-0.0075518720686666,0.18766789886151158,0.07887189956139226,1.1900893640824695
REL00168,Skyllbergs Bruk,0.48539220056051935,-0.3510015071289896,-0.10394979025020783,-0.8979706852027367,-0.006096538104547228,-0.09202627232817613,-0.0038686962965329905,0.18072417616282813,0.08679409832986398,-0.8363937076895089
REL00169,Skånska Energi,0.16109566394006958,0.8034614762995052,0.11257810824933585,0.17951218617737313,0.141802083930148,0.2036986343354188,-0.0070644572435868145,-0.05924579248105463,0.07108504939180121,0.6423658123594356
REL00170,Skövde Energi,-0.15149599611022913,-0.17473989904146503,-0.0914712734537202,0.11904655778526232,-0.020166260613751263,0.003675479868039614,-0.004549925852932059,-0.11071285354355086,0.08093437287941654,-0.023243902931235905
REL00171,Smedjebacken Energi,0.12568813564506343,0.1650444707040455,0.06713109170013432,-0.15467385515223356,-0.035354545787946445,0.06611315992171565,-0.004516307461096651,0.05574491567552064,0.04491187616288811,0.03935633505898206
REL00173,Sollentuna Energi,-0.2624778780266235,-0.27875009417618335,-0.06874355809264507,-0.07054010799744607,-0.013793680501964872,-0.019813384547749946,-0.008030919272989932,0.07658093085337564,0.08806850340986032,-0.016272216149559912
REL00175,Staffanstorps Energi,1.3050062660088457,1.8244601098569957,-0.04482447702628437,0.22070657552753978,0.11302207757440806,0.001352734817605671,-0.004452843967543973,0.1691763688544904,0.06447340806793433,0.51945384384815
REL00177,Sturefors El,0.359939223274619,0.03529276503966283,-0.2623617524807378,0.6024710751748159,-0.006083842344988082,-0.3445851130989137,-0.051493005477964045,-0.3501231241243199,0.08752930411715155,-0.3246464582349561
REL00178,Sundsvall Elnät,1.0403675535922474,-0.07957961521529722,-0.08810024281939137,-1.0698876921539724,0.00981173896476297,-0.04685253359998666,-0.005814337659307515,-0.0024635855837317235,0.08335948404408183,-1.119947168807545
REL00182,Njudung Sävsjö,0.19849407843464117,1.2804095118585934,-0.26720460188426703,1.2443689162696954,-0.011432714920572639,-0.03835547219181813,-0.007041876238346152,0.09156232849807583,0.07001885389118521,1.0819154334239525
REL00183,Söderhamn Elnät,0.7854226073247039,-0.07315064799865434,0.003515702352153466,-0.67722164676847,-0.028149303370606366,-0.0550670712801605,-0.005023067451844273,-0.1768175000488048,0.08018963124437427,-0.8585732553233582
