subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00178,REL03042,False,1.321706610446017
0,(baseline),REL00182,REL00015,False,0.016318830297158624
0,(baseline),REL00182,REL00033,False,0.009155695233473322
0,(baseline),REL00182,REL00158,False,0.3006397437783125
0,(baseline),REL00182,REL00824,False,0.01692699380587279
0,(baseline),REL00182,REL03042,False,0.09279726795643153
0,(baseline),REL00183,REL00033,False,0.021942262362232668
0,(baseline),REL00183,REL00111,False,0.024598770001457097
0,(baseline),REL00183,REL00191,False,0.2309053857708716
0,(baseline),REL00183,REL03050,False,2.6223906996126414
0,(baseline),REL00184,REL00003,False,10.111889108549324
0,(baseline),REL00184,REL00158,False,3.0350324585020143
0,(baseline),REL00184,REL00191,False,0.025110371470619793
0,(baseline),REL00184,REL03042,False,0.5368936820694135
0,(baseline),REL00184,REL03050,False,6.984265892054202
0,(baseline),REL00185,REL00033,False,0.012880870281819357
0,(baseline),REL00185,REL00062,False,0.0034595868505991494
0,(baseline),REL00185,REL00067,False,0.5617951569076632
0,(baseline),REL00185,REL00191,False,0.12794658716866972
0,(baseline),REL00186,REL00016,False,0.03179271118604561
0,(baseline),REL00186,REL00033,False,0.0433493222155789
0,(baseline),REL00186,REL00191,False,0.7912620775399989
0,(baseline),REL00186,REL03042,False,4.148695932511591
0,(baseline),REL00187,REL00003,False,1.2701421100011379
0,(baseline),REL00187,REL00158,False,0.8141700030607233
0,(baseline),REL00187,REL00191,False,0.014716563777600541
0,(baseline),REL00187,REL03042,False,0.2272501287082496
0,(baseline),REL00191,REL00191,True,1.0
0,(baseline),REL00193,REL00003,False,0.5914202354775643
0,(baseline),REL00193,REL00015,False,0.0032561149506801375
0,(baseline),REL00193,REL00158,False,0.1557378649549133
0,(baseline),REL00193,REL00824,False,0.002445164226272278
0,(baseline),REL00195,REL00033,False,0.05235119647295424
0,(baseline),REL00195,REL00111,False,0.16544631411583693
0,(baseline),REL00195,REL00191,False,0.4158504330508117
0,(baseline),REL00195,REL03050,False,4.553057054470921
0,(baseline),REL00201,REL00003,False,4.451147682424744
0,(baseline),REL00201,REL00033,False,0.015261569631425657
0,(baseline),REL00201,REL00158,False,0.13414616335212787
0,(baseline),REL00201,REL03050,False,0.5029629339980758
0,(baseline),REL00203,REL00003,False,3.6539942373816805
0,(baseline),REL00203,REL00015,False,0.02044833233774624
0,(baseline),REL00203,REL00158,False,0.42335930502075564
0,(baseline),REL00203,REL00824,False,0.0015981388207922183
0,(baseline),REL00203,REL03042,False,0.18708451955049687
0,(baseline),REL00204,REL00016,False,0.020222791522224885
0,(baseline),REL00204,REL00062,False,0.017893647774713348
0,(baseline),REL00204,REL00067,False,6.142028332808456
0,(baseline),REL00204,REL00191,False,0.2988697281813104
0,(baseline),REL00205,REL00003,False,12.581568824067348
0,(baseline),REL00205,REL00015,False,0.0035706363602191525
0,(baseline),REL00205,REL00158,False,0.6309119488228555
0,(baseline),REL00205,REL00824,False,0.025306769655185465
0,(baseline),REL00205,REL03042,False,0.46576545467117003
0,(baseline),REL00235,REL00003,False,0.22407781660126483
0,(baseline),REL00235,REL00015,False,0.12314307708836413
0,(baseline),REL00235,REL03042,False,1.1584740662692887
0,(baseline),REL00239,REL00033,False,0.0006258462727016787
0,(baseline),REL00239,REL00158,False,0.5723129656862518
0,(baseline),REL00239,REL00191,False,0.17204498860780626
0,(baseline),REL00239,REL03042,False,0.5912441491563588
0,(baseline),REL00239,REL03050,False,6.935120534411388
0,(baseline),REL00242,REL00033,False,0.0004802213824606057
0,(baseline),REL00242,REL00111,False,0.0044178834754110856
0,(baseline),REL00242,REL00191,False,0.15156136527663533
0,(baseline),REL00242,REL03050,False,5.364497883311326
0,(baseline),REL00243,REL00062,False,0.07810211157224858
0,(baseline),REL00243,REL00111,False,0.18225359180813713
0,(baseline),REL00243,REL00191,False,0.07248354077582116
0,(baseline),REL00244,REL00033,False,0.02147927482446594
0,(baseline),REL00244,REL00062,False,0.01880256413472645
0,(baseline),REL00244,REL00067,False,0.5216742850087503
0,(baseline),REL00244,REL00191,False,0.2832171976294505
0,(baseline),REL00246,REL00003,False,1.2030721309105317
0,(baseline),REL00246,REL00158,False,0.010842218977979953
0,(baseline),REL00246,REL00191,False,0.11066329155471877
0,(baseline),REL00246,REL03050,False,0.4240625394596709
0,(baseline),REL00249,REL00003,False,0.8025285761619274
0,(baseline),REL00249,REL00191,False,0.034165199254486814
0,(baseline),REL00249,REL03050,False,1.4523728509141425
0,(baseline),REL00255,REL00255,True,1.0
0,(baseline),REL00267,REL00033,False,0.10148559839517665
0,(baseline),REL00267,REL00111,False,0.9705242507496415
0,(baseline),REL00267,REL03042,False,3.706591024746674
0,(baseline),REL00267,REL03050,False,7.091674110997297
0,(baseline),REL00332,REL00003,False,4.852587318660441
0,(baseline),REL00332,REL00033,False,0.0010339315205198988
0,(baseline),REL00332,REL00158,False,0.30970451846130764
0,(baseline),REL00332,REL03042,False,0.5253628542886498
0,(baseline),REL00332,REL03050,False,0.7153118207018339
0,(baseline),REL00364,REL00003,False,0.0028836079866577007
0,(baseline),REL00364,REL00158,False,0.9071093597670229
0,(baseline),REL00364,REL00191,False,0.018871476310045137
0,(baseline),REL00364,REL03042,False,0.5263291273401677
0,(baseline),REL00570,REL00570,True,1.0
0,(baseline),REL00576,REL00003,False,26.824681909483697
0,(baseline),REL00576,REL00033,False,0.32401242403174335
0,(baseline),REL00576,REL00824,False,0.017936948058198125
0,(baseline),REL00576,REL00899,False,0.9842366860261377
0,(baseline),REL00584,REL00255,False,0.053572732535504444
0,(baseline),REL00584,REL00944,False,0.595466472132974
0,(baseline),REL00584,REL03042,False,7.82906742519036
0,(baseline),REL00585,REL00585,True,1.0
0,(baseline),REL00590,REL00033,False,0.023127672927330513
0,(baseline),REL00590,REL00158,False,0.16118642623823698
0,(baseline),REL00590,REL00899,False,0.010262933482757074
0,(baseline),REL00594,REL00111,False,0.03949526858510967
0,(baseline),REL00594,REL00191,False,0.3135044475883804
0,(baseline),REL00594,REL03042,False,0.16337382917549992
0,(baseline),REL00594,REL03050,False,9.696927854304029
0,(baseline),REL00824,REL00824,True,1.0
0,(baseline),REL00885,REL00062,False,0.0272106056077565
0,(baseline),REL00885,REL00067,False,3.6185149951603863
0,(baseline),REL00885,REL00191,False,1.3937069422726065
0,(baseline),REL00886,REL00003,False,3.501444777439266
0,(baseline),REL00886,REL00191,False,0.968480384083731
0,(baseline),REL00886,REL03042,False,8.37941723412089
0,(baseline),REL00886,REL03050,False,43.66691466176084
0,(baseline),REL00899,REL00899,True,1.0
0,(baseline),REL00904,REL00062,False,0.14392309562345054
0,(baseline),REL00904,REL00111,False,0.3851214285324177
0,(baseline),REL00904,REL00112,False,0.7810938033642578
